"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Antonio Senzatela","Rockies","2","4","5.57","10","10","0","52.0","62","32","8","32","21","1.58","5.54","3.56","5.38","0.3","0.4","600.4","15488"
"Tommy Kahnle","Yankees","1","1","3.62","0","25","0","25.0","21","10","3","32","10","1.22","11.33","3.58","3.74","0.3","0.3","591.0","11384"
"Kirby Yates","Padres","1","1","3.40","0","23","12","23.0","19","9","3","30","7","1.13","11.58","2.88","3.38","0.3","0.2","60.0","9073"
"Zach Plesac","Indians","3","3","5.04","8","8","0","47.0","51","26","9","38","15","1.39","7.31","2.91","5.17","0.3","0.4","470.3","19979"
"Dellin Betances","Mets","1","1","3.22","0","20","1","20.0","15","7","2","28","9","1.18","12.23","3.96","3.24","0.3","0.3","407.3","6216"
"Zach Eflin","Phillies","3","4","5.16","10","10","0","54.0","59","31","11","41","17","1.40","6.88","2.79","5.28","0.3","0.3","558.1","13774"
"David Peterson","Mets","1","1","4.27","4","4","0","24.0","25","11","3","19","9","1.43","7.14","3.51","4.47","0.3","0.3","999.0","20302"
"Chase Anderson","Blue Jays","3","4","5.38","10","10","0","52.0","56","31","11","44","18","1.42","7.64","3.16","5.41","0.3","0.2","586.9","6895"
"Ty Buttrey","Angels","1","1","3.51","0","24","1","24.0","20","9","3","27","8","1.20","10.25","3.17","3.67","0.3","0.3","573.1","14719"
"Roberto Osuna","Astros","1","1","3.61","0","21","11","21.0","18","8","3","25","6","1.12","10.47","2.35","3.61","0.3","0.3","79.0","13764"
"Austin Adams","Mariners","1","1","3.19","0","19","3","19.0","14","7","2","27","9","1.20","12.45","4.20","3.35","0.3","0.3","532.7","13801"
"Zack Britton","Yankees","1","1","3.41","0","24","2","24.0","23","9","2","23","11","1.40","8.53","4.14","3.81","0.3","0.4","298.0","3240"
"Aaron Bummer","White Sox","1","1","3.47","0","24","1","24.0","22","9","2","25","10","1.32","9.26","3.70","3.70","0.3","0.3","516.9","16258"
"Tyler Duffey","Twins","1","1","3.87","0","24","0","24.0","22","10","3","27","7","1.21","9.91","2.65","3.85","0.3","0.3","589.1","13758"
"Emilio Pagan","Padres","1","1","3.70","0","24","0","24.0","20","10","4","29","7","1.13","10.86","2.65","3.76","0.3","0.2","298.9","14771"
"Jeff Samardzija","Giants","3","5","5.02","12","12","0","71.0","77","40","12","52","22","1.39","6.60","2.74","5.03","0.3","0.3","404.1","3254"
"Michael Wacha","Mets","3","4","4.97","10","12","0","57.0","61","31","9","45","23","1.47","7.20","3.64","5.03","0.3","0.2","582.2","14078"
"Tyler Anderson","Giants","2","2","4.25","5","9","0","33.0","33","16","5","30","11","1.31","8.18","2.96","4.40","0.3","0.4","599.3","12880"
"Will Harris","Nationals","1","1","3.67","0","23","1","23.0","22","9","2","23","7","1.26","8.84","2.84","3.71","0.3","0.3","548.4","3192"
