"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Keegan Akin","Orioles","1","1","0","0","5.51","2","2","12.0","13","8","3","11","6","1.54","8.01","4.70","5.71","0.0","sa873980"
"Hunter Harvey","Orioles","0","0","0","0","5.76","1","1","6.0","7","4","1","5","3","1.51","6.98","3.66","5.75","0.0","sa737510"
"Ryan Castellani","Rockies","1","1","0","0","5.93","2","2","13.0","14","8","2","10","7","1.65","6.84","4.74","5.77","0.0","sa828689"
"Julian Fernandez","Marlins","0","0","0","1","5.50","0","7","7.0","7","4","1","5","5","1.78","6.71","6.74","5.77","0.0","sa737347"
"Beau Burrows","Tigers","1","1","0","0","5.81","2","2","13.0","14","8","3","10","6","1.55","7.07","4.28","5.84","0.0","sa874682"
"Jose Fernandez","Tigers","0","1","0","0","5.74","0","14","14.0","14","9","2","11","9","1.69","7.22","5.80","5.85","-0.1","14733"
"Conner Greene","Royals","1","1","0","0","5.83","2","2","13.0","14","8","2","8","8","1.71","6.01","5.63","5.93","-0.1","sa737829"
"Kodi Medeiros","White Sox","1","1","0","0","5.75","2","2","13.0","13","8","2","9","8","1.69","6.73","5.66","6.01","-0.1","sa828664"
"David Hess","Orioles","4","9","0","0","6.08","16","16","95.0","108","64","23","74","38","1.54","6.98","3.62","6.06","-0.2","16130"
"Sandy Baez","Tigers","1","2","0","0","6.12","0","27","27.0","32","19","6","19","13","1.63","6.38","4.29","6.08","-0.1","17754"
"Luis Ortiz","Orioles","0","1","0","0","6.26","2","2","12.0","14","8","3","7","5","1.63","5.48","4.02","6.29","-0.1","16942"
"Dan Straily","Orioles","2","4","0","0","6.33","9","9","51.0","58","36","13","39","21","1.57","6.86","3.78","6.40","-0.3","9460"
