"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Edmundo Sosa","Cardinals","1","5","4","1","0","0","0","0","0","0","1","0","0","0",".239",".274",".340",".615",".267","0.0","0.0","0.0","17022"
"Alcides Escobar","White Sox","3","14","13","3","1","0","0","1","1","1","2","0","0","0",".239",".278",".333",".611",".267","0.0","0.0","0.0","6310"
"Sergio Alcantara","Tigers","1","5","4","1","0","0","0","0","0","0","1","0","0","0",".236",".292",".308",".600",".267","0.0","0.0","0.0","sa739641"
"Humberto Arteaga","Royals","1","5","4","1","0","0","0","0","0","0","1","0","0","0",".249",".281",".330",".611",".267","0.0","0.0","0.0","sa598821"
"Isaac Galloway","Marlins","1","5","4","1","0","0","0","0","0","0","1","0","0","0",".221",".267",".344",".611",".267","0.1","0.0","0.0","5238"
"Dustin Garneau","Angels","6","26","23","5","1","0","1","3","3","2","7","0","0","0",".200",".268",".336",".605",".267","0.0","0.0","0.0","9433"
"Oscar Hernandez","Red Sox","3","13","12","2","1","0","0","1","1","1","3","0","0","0",".211",".271",".335",".606",".266","0.0","0.0","0.0","13490"
"Jose Trevino","Rangers","4","18","16","4","1","0","0","2","2","1","3","0","0","0",".233",".275",".334",".609",".266","0.0","0.0","0.0","16725"
"Bryan Holaday","Marlins","3","13","12","3","1","0","0","1","1","1","2","0","0","0",".223",".278",".330",".608",".266","0.1","0.0","0.0","11287"
"Wilfredo Tovar","Angels","1","5","4","1","0","0","0","0","0","0","1","0","0","0",".238",".281",".322",".603",".265","0.0","0.0","0.0","10416"
"Jose Briceno","Angels","1","4","4","1","0","0","0","0","0","0","1","0","0","0",".214",".255",".357",".613",".265","0.0","0.0","0.0","13151"
"Anthony Alford","Blue Jays","24","99","89","19","4","0","2","10","8","7","31","1","3","1",".209",".279",".317",".595",".265","0.5","0.1","-0.1","14329"
"Luis Torrens","Padres","1","4","4","1","0","0","0","0","0","0","1","0","0","0",".225",".277",".322",".599",".263","0.0","0.0","0.0","15905"
"Derek Hill","Tigers","1","5","4","1","0","0","0","0","0","0","1","0","0","0",".222",".268",".333",".601",".263","0.0","0.0","0.0","sa828670"
"Jesus Sucre","Orioles","2","9","8","2","0","0","0","1","1","0","1","0","0","0",".235",".279",".320",".599",".263","0.0","0.0","0.0","5942"
"Adam Engel","White Sox","21","90","82","17","3","1","2","9","7","6","28","1","3","1",".207",".268",".326",".594",".262","0.2","0.2","0.0","15082"
"Ian Miller","Mariners","2","9","8","2","0","0","0","1","1","1","2","0","0","0",".229",".283",".307",".590",".262","0.0","0.0","0.0","sa738894"
"Jhonatan Solano","","8","32","29","7","1","0","1","3","3","2","5","0","0","0",".221",".271",".325",".596",".262","0.0","0.0","0.0","7515"
"Magneuris Sierra","Marlins","1","5","5","1","0","0","0","0","0","0","1","0","0","0",".241",".277",".317",".594",".260","0.0","0.0","0.0","17023"
"Harold Castro","Tigers","6","24","23","6","1","0","0","2","2","1","4","0","0","0",".248",".273",".322",".595",".260","0.1","0.0","0.0","14691"
"Richard Urena","Blue Jays","10","42","40","9","2","0","1","4","4","2","10","0","0","0",".228",".263",".335",".598",".259","0.1","0.0","0.0","16411"
