All Pitchers Year to Date MLB True Talent Categories,,,,,,,,,,,,,,,,,
Avail,Player,INN,GS,BFP,PC,W,S,K,BB,H,HR,ER,ERA,WHIP,Kd9,BBd9,Rank
W ,Jon Keller P | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Union State Connectors,Vince Velasquez SP | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Colten Brewer RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Vladimir Gutierrez SP | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Gene Escat P | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dusten Knight P | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,D.J. Brown RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Joe Filomeno RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tommy Collier SP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Bus 3,James Shields SP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Drew Hasler P | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kevin Siegrist RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Joe Gunkel P | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Rafael Pineda RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ralston Cash RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Antonio Bastardo RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Edwin Uceta SP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Cole Irvin SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Luis Ysla RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
