Avail,Player,INN,GS,BFP,PC,W,S,K,BBI,HA,HRA,ER,ERA,WHIP,Kd9,BBd9,Rank
FA,Austin Hyatt SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Michael Peoples RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Scott Griggs RP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Daniel Mengden SP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Wyatt Mills P | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Sam Moll RP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Brandon Workman RP | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Fabio Castillo RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Ryan Garton RP | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jonathan Maciel P | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Keegan Long RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Andres Avila RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jeffrey Springs RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Phil Bickford SP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Andrew Bellatti RP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Union State Connectors,Chris Devenski RP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Tanner Scheppers RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Ryan Moseley RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Matt Koch RP | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Ramon Ramirez RP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Matt Marsh RP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Yhonathan Barrios RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Trey Haley RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Josh Edgin RP | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Burke Badenhop RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Johnny and the Rockers,Alex Claudio RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Kent Emanuel P | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Odrisamer Despaigne RP | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Josh Martin RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Josh Zeid RP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Tommy Hunter RP | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jen-Ho Tseng SP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Blake Smith RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Adam Parks RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Mark Appel SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jimmy Yacabonis RP | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Clayton Cook RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Scott Feldman SP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Scott Barnes RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Neil Holland RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Fernando Romero SP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Travis Hissong RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Cionel Perez SP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Adam Cimber P | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Tom Hackimer RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Michael Feliz RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Asher Wojciechowski RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jarlin Garcia RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Boone Logan RP | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Esmerling De La Rosa RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Brad Keller SP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Luke Eubank RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Dereck Rodriguez SP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Colton Davis RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Matt Reynolds RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Juan Hillman SP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jorge Reyes SP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Tyler Olson RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Cody Stull RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
