"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"C.J. Cron","COL","123","532","476","128","26","1","31","70","89","40","125","12","1","1",".268",".337",".521",".858",".356","0.9","-1.4","1.0","195.0","12546"
"Ji-Man Choi","TBR","96","413","351","85","20","1","15","49","51","53","101","4","2","1",".243",".345",".429",".774",".329","-0.5","-0.5","1.0","574.8","5452"
"Tom Murphy","SEA","92","369","340","74","15","2","16","39","47","23","128","3","2","1",".217",".272",".413",".685",".287","0.0","-0.3","1.0","352.6","13499"
"Travis Shaw","MIL","91","392","338","77","15","0","18","46","49","47","105","3","2","1",".229",".326",".436",".763",".323","0.1","-0.6","1.0","559.2","11982"
"Jurickson Profar","SDP","104","448","395","99","20","2","14","55","57","41","67","8","8","2",".251",".331",".420",".750",".320","-0.4","0.8","1.0","305.8","10815"
"Christian Walker","ARI","133","574","511","129","29","2","23","74","79","52","144","6","4","1",".253",".327",".458",".784",".329","1.4","0.3","1.0","209.1","13419"
"Enrique Hernandez","BOS","99","427","379","94","23","2","15","56","56","38","87","4","3","1",".247",".320",".441",".761",".320","-1.5","0.2","1.0","420.4","10472"
"Joey Wendle","TBR","89","385","352","90","19","3","6","42","37","21","74","8","10","3",".257",".310",".381",".691",".295","1.7","0.4","1.0","370.7","13853"
"Jesus Aguilar","MIA","122","525","457","114","21","0","21","63","75","56","121","5","1","1",".249",".333",".434",".767",".326","0.6","-1.1","1.0","427.6","11342"
"Mike Zunino","TBR","92","365","330","64","14","0","16","38","47","26","134","6","1","0",".195",".264",".388",".652",".276","1.3","-0.7","1.0","561.7","13265"
"Yan Gomes","WSN","81","320","289","70","14","1","11","35","41","23","76","5","2","0",".243",".307",".416",".724",".305","1.1","-0.4","1.0","303.9","9627"
"Rowdy Tellez","TOR","96","413","370","96","20","0","21","55","65","34","97","5","2","2",".258",".325",".485",".809",".336","0.2","-0.9","1.0","310.3","15679"
"Stephen Piscotty","OAK","125","539","485","118","25","1","19","61","72","42","128","6","6","2",".243",".310",".416",".726",".309","-0.2","0.2","1.0","538.0","13367"
"Jared Walsh","LAA","96","413","371","91","18","2","21","54","64","32","120","5","1","0",".244",".310",".475",".785",".327","0.9","-0.3","0.9","234.2","18607"
"Alex Avila","WSN","68","269","221","45","8","0","9","27","28","43","96","3","1","0",".203",".336",".363",".699",".305","2.2","-0.7","0.9","598.4","7476"
"Nick Senzel","CIN","130","560","506","127","30","3","17","69","63","45","138","4","16","7",".252",".316",".425",".741",".314","-0.7","-0.3","0.9","224.9","19293"
"Hunter Renfroe","BOS","109","469","423","98","23","1","26","59","76","37","133","4","4","1",".232",".297",".476",".774",".320","1.0","-0.1","0.9","449.0","15464"
"Ha-seong Kim","SDP","75","322","287","75","14","1","10","38","38","28","53","3","8","3",".260",".329",".418",".747",".318","0.0","-0.1","0.9","280.8","sa3011918"
"Josh Naylor","CLE","112","483","435","119","24","2","15","61","58","41","76","3","4","2",".273",".338",".443",".781",".330","-1.9","-0.2","0.9","492.1","18839"
"Carter Kieboom","WSN","104","448","387","95","17","2","11","53","50","48","103","8","3","2",".247",".339",".381",".720",".313","-0.1","-0.6","0.9","486.8","19958"
"Josh Bell","WSN","136","588","509","131","25","2","28","78","96","70","130","4","1","1",".258",".349",".481",".830",".344","-4.9","-1.9","0.9","145.0","13145"
"Justin Upton","LAA","131","567","497","114","21","0","28","73","86","56","169","9","5","3",".229",".315",".443",".758",".321","-3.7","-0.5","0.9","376.9","5222"
"Alex Dickerson","SFG","109","469","420","112","23","4","16","61","64","37","94","6","2","0",".266",".333",".456",".789",".330","-3.4","-0.3","0.9","358.1","12649"
"Bryan Reynolds","PIT","136","588","525","134","26","5","17","72","64","53","143","5","5","3",".255",".327",".422",".749",".319","-2.9","-0.9","0.9","328.1","19326"
"Corey Dickerson","MIA","126","546","506","135","28","3","18","63","64","32","102","3","4","2",".267",".313",".441",".754",".315","0.0","-0.7","0.9","424.9","10762"
"Kole Calhoun","ARI","110","476","414","97","20","2","21","61","62","51","116","6","3","2",".233",".324",".438",".762",".322","2.1","-0.4","0.9","373.7","11200"
"Jon Berti","MIA","91","392","340","82","14","2","7","47","33","40","92","7","20","6",".241",".331",".350",".681",".300","1.3","1.8","0.9","299.0","12037"
"Wander Franco","TBR","102","441","401","101","17","4","10","48","45","32","59","2","9","7",".253",".309",".388",".697",".297","0.2","-1.4","0.9","999.0","sa3007033"
"Christian Arroyo","BOS","78","336","307","80","18","1","11","40","44","22","72","4","3","1",".260",".315",".432",".747",".315","-0.1","-0.2","0.9","600.6","16434"
"Brandon Crawford","SFG","128","553","495","118","26","1","13","57","64","45","124","6","4","3",".239",".308",".378",".685",".291","1.2","-1.1","0.9","564.7","5343"
"Charlie Blackmon","COL","136","588","529","152","29","5","23","86","75","46","110","7","5","4",".288",".350",".489",".840",".350","-4.3","-0.9","0.9","88.1","7859"
"Manny Pina","MIL","52","205","184","43","8","1","6","20","22","14","51","4","1","0",".236",".303",".386",".688",".294","2.1","-0.3","0.8","599.0","2829"
"Jackie Bradley Jr.","MIL","128","553","484","111","22","2","20","66","61","53","149","9","10","4",".229",".315",".407",".723",".308","3.0","0.6","0.8","404.0","12984"
"Bobby Dalbec","BOS","123","532","466","106","20","1","28","66","71","52","189","9","4","3",".227",".314",".455",".769",".323","3.2","-1.0","0.8","278.5","19966"
"Chad Pinder","OAK","84","364","330","82","17","1","14","43","48","25","91","5","1","1",".248",".309",".435",".743",".313","-2.9","-0.6","0.8","572.7","15191"
"Maikel Franco","BAL","113","490","446","113","23","1","20","54","68","37","76","2","1","0",".253",".309",".443",".752",".311","-2.4","-0.5","0.8","456.6","12179"
"Adam Duvall","MIA","123","532","480","108","23","2","27","64","76","39","144","7","2","1",".226",".291",".448",".739",".308","2.4","-0.3","0.8","366.5","10950"
"Donovan Solano","SFG","125","539","503","141","29","2","7","55","54","26","97","5","2","1",".281",".320",".384",".703",".302","-1.8","-0.6","0.8","543.3","8623"
"Alexander Kirilloff","","89","385","356","99","19","2","12","45","45","22","74","4","5","3",".279",".326",".449",".775",".326","-0.9","-0.6","0.8","999.0","sa917929"
"Brett Gardner","NYY","65","280","243","58","10","2","9","37","32","31","62","3","5","2",".239",".330",".419",".750",".321","0.2","0.2","0.8","566.9","9927"
"Yoshitomo Tsutsugo","TBR","79","343","297","70","14","1","15","43","46","42","91","2","0","0",".236",".331",".442",".774",".327","0.0","-0.2","0.8","556.9","27459"
"Keston Hiura","MIL","139","602","540","135","27","2","28","78","85","42","175","14","11","5",".251",".320",".465",".785",".328","-1.2","-0.5","0.8","72.4","20003"
"Tony Kemp","OAK","92","399","352","90","17","3","6","46","34","36","57","5","10","4",".255",".330",".366",".696",".302","-1.8","-0.3","0.8","599.0","14894"
"Orlando Arcia","MIL","110","476","434","109","20","2","13","49","52","34","94","3","7","3",".252",".308",".391",".699",".297","1.4","0.1","0.8","563.1","13185"
"Yuli Gurriel","HOU","146","630","581","154","33","2","21","76","83","35","75","7","3","2",".265",".311",".440",".751",".315","-1.0","-1.3","0.8","341.7","19198"
"Starlin Castro","WSN","118","511","477","131","24","2","16","59","66","27","93","2","3","2",".275",".315",".437",".752",".316","-2.8","-0.3","0.8","431.2","4579"
"Victor Caratini","SDP","62","247","218","54","11","1","6","26","31","23","53","4","1","1",".250",".328",".388",".717",".309","-0.3","-0.3","0.8","524.7","14968"
"Evan Longoria","SFG","112","483","441","109","21","2","16","53","63","31","100","6","2","2",".247",".302",".413",".715",".302","0.7","-0.6","0.8","526.3","9368"
"Nicholas Castellanos","CIN","146","630","571","149","39","4","27","86","85","47","157","6","3","2",".262",".323",".487",".810",".337","-8.3","-0.9","0.8","81.7","11737"
"Franchy Cordero","BOS","89","385","349","87","20","4","15","51","55","30","115","2","9","3",".248",".310",".456",".766",".321","0.2","0.7","0.7","468.5","14567"
"Jason Castro","HOU","63","250","218","44","11","0","7","26","25","27","87","2","1","0",".200",".294",".353",".647",".282","0.5","-0.7","0.7","568.0","8722"
"Freddy Galvis","BAL","128","553","506","121","23","2","14","57","60","36","119","5","5","3",".239",".294",".377",".672",".287","-0.5","-0.5","0.7","533.0","6609"
"Marwin Gonzalez","BOS","83","357","320","83","18","1","11","40","45","29","74","4","1","1",".258",".326",".422",".748",".318","0.5","-0.4","0.7","508.7","5497"
"Austin Hedges","CLE","50","198","179","37","7","0","8","20","24","14","60","2","2","1",".209",".273",".384",".657",".277","1.1","-0.2","0.7","599.5","12976"
"Jordan Luplow","CLE","55","238","207","50","11","1","9","29","30","26","55","3","3","2",".242",".332",".434",".766",".326","2.0","-0.3","0.7","601.0","16424"
"Mauricio Dubon","SFG","97","420","388","102","17","2","10","45","44","24","74","3","9","5",".264",".309",".391",".700",".299","1.1","-0.5","0.7","291.5","16530"
"Randal Grichuk","TOR","94","406","375","92","20","2","21","53","62","25","105","3","2","1",".245",".296",".477",".773",".320","-2.9","-0.2","0.7","274.9","10243"
"JaCoby Jones","DET","122","525","473","110","26","3","16","63","53","36","157","10","11","4",".231",".298",".402",".700",".297","-0.1","0.3","0.7","521.3","14818"
"Yasiel Puig","","62","266","239","61","12","1","11","33","38","22","57","2","7","3",".256",".323",".455",".778",".327","0.5","-0.3","0.7","484.6","14225"
"Tyler O'Neill","STL","133","574","519","119","21","1","28","72","81","45","178","5","8","3",".230",".295",".439",".735",".308","0.8","0.4","0.7","427.5","15711"
"Nate Lowe","TEX","76","329","287","75","14","1","14","41","42","37","83","2","2","1",".260",".347",".460",".807",".340","0.0","0.0","0.6","436.1","19566"
"Cedric Mullins II","BAL","89","385","349","85","16","4","9","44","38","26","76","3","13","4",".244",".299",".391",".690",".293","0.3","0.9","0.6","506.4","17929"
"Ryan McMahon","COL","136","588","524","131","26","3","24","70","79","55","178","4","5","2",".251",".324",".448",".773",".326","-1.4","0.1","0.6","236.7","15112"
"Austin Slater","SFG","65","280","243","62","12","2","7","34","30","29","74","5","7","2",".254",".344",".407",".751",".324","-0.1","0.5","0.6","529.7","16153"
"Dylan Moore","SEA","112","483","428","95","21","2","15","56","49","38","129","12","22","11",".222",".302",".386",".688",".295","-1.3","-0.3","0.6","125.4","18042"
"Victor Reyes","DET","84","364","342","94","16","3","7","44","33","16","73","2","11","4",".274",".308",".402",".710",".301","2.2","0.2","0.6","290.6","15487"
"Renato Nunez","DET","100","434","391","97","19","0","21","53","63","34","111","6","1","0",".247",".313",".457",".771",".324","0.5","-0.6","0.6","500.9","14503"
"Joey Votto","CIN","143","616","518","129","25","1","19","81","61","88","125","4","3","1",".249",".360",".411",".771",".333","-1.4","-2.7","0.6","379.0","4314"
"Nicky Lopez","KCR","130","560","506","128","23","3","6","57","46","43","81","4","8","6",".253",".315",".346",".661",".289","3.7","-1.6","0.6","599.7","19339"
"Matt Carpenter","STL","94","406","339","74","18","1","13","51","45","56","108","7","2","1",".219",".339",".396",".734",".317","-2.6","-0.9","0.6","586.1","8090"
"Rio Ruiz","BAL","76","329","296","71","14","1","11","37","42","29","73","1","2","1",".240",".307",".408",".715",".303","1.6","-0.6","0.6","575.3","14103"
"Omar Narvaez","MIL","71","282","245","59","10","0","9","29","30","32","63","3","0","0",".242",".334",".389",".723",".313","-3.5","-0.5","0.6","351.8","13338"
"Daulton Varsho","ARI","65","272","243","60","11","2","9","33","30","22","59","4","8","3",".247",".317",".421",".738",".313","-0.3","0.2","0.6","205.6","19918"
"Wilmer Flores","SFG","66","287","264","73","15","1","10","34","40","17","39","3","1","0",".277",".323",".458",".781",".327","-1.5","-0.6","0.6","455.7","5827"
"Tim Locastro","ARI","79","343","301","77","17","3","6","43","30","21","66","17","15","3",".256",".337",".389",".727",".316","-1.4","1.6","0.6","541.4","15124"
"Hanser Alberto","KCR","58","252","239","69","13","1","4","29","23","7","27","2","2","1",".289",".314",".403",".717",".304","0.5","-0.1","0.5","579.6","11902"
"Kevin Plawecki","BOS","49","192","171","44","10","1","4","20","23","15","36","4","1","1",".256",".327",".401",".728",".312","-0.5","-0.5","0.5","593.0","13807"
"Tyler Stephenson","CIN","50","198","176","42","8","1","6","22","23","17","49","3","1","0",".236",".312",".382",".694",".299","0.7","-0.1","0.5","495.1","17988"
"Tyler Flowers","","32","128","111","24","5","0","4","13","13","12","44","3","0","0",".211",".306",".356",".661",".288","0.2","-0.3","0.5","600.6","9134"
"Eloy Jimenez","CHW","24","105","97","28","5","0","6","14","19","6","24","1","0","0",".286",".333",".545",".878",".362","-0.6","0.0","0.5","47.5","17484"
"Kyle Higashioka","NYY","37","147","136","30","6","0","7","17","22","8","38","1","0","0",".222",".271",".419",".690",".288","-0.2","-0.1","0.5","555.9","5517"
"David Bote","CHC","75","322","281","66","13","1","11","37","43","33","89","4","4","2",".235",".322",".410",".732",".312","-0.4","0.2","0.5","554.2","14593"
"Nomar Mazara","DET","97","420","382","97","20","1","15","48","55","29","100","5","2","1",".255",".314",".435",".749",".316","-0.6","-0.6","0.5","540.0","14553"
"Garrett Cooper","MIA","65","280","251","65","13","0","9","33","35","23","68","3","0","0",".261",".330",".427",".756",".323","0.3","-0.5","0.5","538.0","15279"
"Eric Hosmer","SDP","147","637","578","150","26","1","23","76","96","51","143","3","6","2",".259",".321",".427",".748",".316","0.3","-0.9","0.5","159.2","3516"
"Andrew Knizner","STL","52","205","187","48","8","1","5","22","22","12","37","3","1","1",".256",".310",".392",".702",".299","1.1","-0.2","0.5","568.7","19514"
"Jonah Heim","TEX","63","250","227","54","10","1","5","26","25","17","44","2","1","1",".240",".296",".359",".655",".282","2.7","-0.2","0.5","587.0","16930"
"Shogo Akiyama","CIN","96","413","367","97","17","2","10","49","40","39","77","3","8","4",".265",".340",".405",".745",".320","-1.0","-0.8","0.5","556.0","27461"
"Francisco Mejia","TBR","57","224","206","49","10","1","7","24","24","12","48","3","1","1",".237",".288",".394",".682",".288","0.0","-0.1","0.5","494.1","16403"
"Luis Torrens","SEA","75","294","267","66","14","1","6","29","29","22","59","2","1","1",".247",".306",".376",".682",".292","-0.5","-0.3","0.4","549.2","15905"
"Yolmer Sanchez","BAL","86","371","332","82","16","3","5","39","33","30","75","4","5","3",".248",".315",".366",".681",".294","-0.5","-0.5","0.4","598.5","11602"
"Jarred Kelenic","SEA","107","462","420","100","19","3","18","55","59","34","125","3","11","6",".239",".300",".431",".731",".308","-2.9","-0.4","0.4","194.7","sa3007741"
"Cam Gallagher","KCR","37","147","133","33","7","0","3","15","13","11","27","1","1","0",".246",".307",".366",".673",".291","0.4","-0.2","0.4","598.1","12981"
"Mike Brosseau","TBR","31","133","120","31","6","1","5","15","16","9","33","3","2","1",".254",".316",".428",".744",".315","0.6","-0.2","0.4","510.0","19683"
"Kevin Newman","PIT","107","462","424","113","21","2","6","48","40","28","61","4","10","5",".268",".317",".373",".691",".296","-2.3","-0.5","0.4","532.2","17696"
"Kurt Suzuki","LAA","70","275","247","63","12","0","9","31","40","18","40","6","1","0",".256",".319",".419",".738",".314","-4.4","-0.7","0.4","491.3","8259"
"Aledmys Diaz","HOU","49","210","193","49","11","1","8","25","27","13","33","2","1","1",".256",".307",".436",".743",".312","-1.0","-0.3","0.4","598.1","15937"
"Dom Nunez","COL","62","243","212","47","9","1","9","28","27","26","66","3","3","1",".220",".310",".392",".702",".300","1.0","-0.1","0.4","588.6","15055"
"Pedro Severino","BAL","66","262","236","57","9","1","8","27","31","21","57","2","2","0",".241",".307",".395",".702",".299","-1.3","-0.3","0.4","373.9","14523"
"Leody Taveras","TEX","126","546","493","121","21","5","11","64","43","44","133","2","23","8",".244",".307",".375",".682",".293","2.2","0.9","0.4","202.7","18900"
"Isaac Paredes","DET","37","161","145","38","7","1","4","17","16","12","26","2","1","1",".259",".321",".397",".717",".308","0.3","-0.1","0.4","586.4","20036"
"Josh Rojas","ARI","63","273","243","60","13","2","6","32","26","25","57","2","9","4",".247",".321",".394",".715",".306","0.7","0.0","0.4","512.5","19734"
"D.J. Stewart","BAL","63","273","235","54","11","1","11","33","36","31","70","4","4","2",".232",".327",".427",".754",".321","-1.3","-0.2","0.4","579.3","17766"
"Jonathan India","CIN","107","462","406","94","17","3","12","49","43","41","120","10","7","4",".231",".315",".374",".689",".297","0.9","-0.5","0.4","557.8","sa3008178"
"Brendan Rodgers","COL","99","427","393","103","22","2","14","49","52","24","93","6","5","2",".262",".311",".431",".743",".313","1.4","0.0","0.4","432.3","17907"
"Brad Miller","PHI","63","273","236","53","11","2","12","33","40","32","81","2","2","1",".224",".320",".438",".757",".319","-0.8","-0.5","0.3","595.1","12775"
"Luis Campusano","SDP","28","109","98","25","5","0","3","13","14","8","18","1","0","0",".253",".314",".395",".709",".303","-0.2","-0.1","0.3","999.0","22217"
"Jonathan Villar","NYM","68","294","263","63","10","1","8","35","28","26","79","2","17","5",".241",".310",".376",".686",".295","-0.7","1.3","0.3","216.9","10071"
"Pat Valaika","BAL","34","147","137","34","6","1","6","19","18","8","37","0","1","1",".250",".291",".440",".731",".306","-0.2","-0.4","0.3","566.0","14885"
"Isan Diaz","MIA","94","406","361","83","15","2","12","47","46","39","106","3","5","2",".229",".308",".379",".687",".296","-1.5","-0.6","0.3","596.9","17922"
"Curt Casali","SFG","42","168","147","34","6","0","5","16","18","16","42","2","1","0",".230",".314",".366",".680",".295","-0.7","-0.2","0.3","595.6","12510"
"Jake Marisnick","CHC","66","287","262","63","14","2","10","37","34","17","84","5","7","3",".240",".296",".425",".721",".304","-0.1","0.4","0.3","600.3","11339"
"Michael A. Taylor","KCR","71","308","282","65","17","1","9","34","33","21","90","2","10","3",".230",".287",".394",".680",".287","0.8","0.5","0.3","557.4","11489"
"Shed Long","SEA","63","273","246","56","11","1","8","29","27","23","75","2","6","3",".229",".297",".377",".674",".289","-0.6","0.2","0.3","598.4","16542"
"Avisail Garcia","MIL","83","357","324","85","16","1","11","41","43","24","86","6","4","2",".262",".322",".424",".746",".315","0.1","-0.5","0.3","382.4","5760"
"Odubel Herrera","PHI","57","245","223","57","12","1","8","27","31","17","56","3","3","2",".253",".311",".419",".730",".309","-2.0","-0.1","0.3","535.3","11476"
"Michael Perez","PIT","40","160","144","33","7","0","4","16","17","13","40","1","1","1",".230",".296",".367",".662",".285","1.2","-0.4","0.3","600.9","12977"
"Jake Rogers","DET","29","115","102","21","4","0","4","13","13","10","36","2","1","0",".203",".281",".369",".650",".279","1.4","-0.1","0.3","600.9","19452"
"Chance Sisco","BAL","73","289","248","56","11","0","9","32","31","28","88","10","1","1",".227",".327",".384",".711",".310","-2.5","-0.5","0.3","558.6","15694"
"Luis Guillorme","NYM","52","224","196","50","9","1","3","23","19","23","41","2","3","1",".253",".334",".346",".681",".300","0.1","-0.1","0.3","600.1","16451"
"Daniel Vogelbach","MIL","28","119","100","23","4","0","6","15","17","18","30","1","0","0",".235",".352",".445",".797",".340","0.1","-0.2","0.3","598.0","14130"
"Mike Tauchman","NYY","21","91","80","20","4","1","2","12","11","10","21","1","2","1",".249",".332",".402",".734",".312","0.8","0.1","0.3","580.9","15274"
"Adley Rutschman","BAL","21","83","75","17","4","0","2","10","10","6","18","1","1","0",".229",".291",".373",".664",".284","0.6","0.1","0.2","514.4","sa3011643"
"Oscar Mercado","CLE","68","294","267","65","13","1","7","34","29","19","64","3","12","4",".244",".300",".376",".676",".290","0.3","0.4","0.2","453.9","16375"
"Jake Cave","MIN","50","217","197","49","10","2","7","27","27","15","67","4","2","1",".248",".309",".426",".735",".311","-1.0","-0.3","0.2","599.8","14477"
"Asdrubal Cabrera","ARI","68","294","263","67","14","2","10","33","40","26","58","2","1","0",".254",".322",".432",".754",".319","-1.7","-0.9","0.2","535.3","4962"
"Jarren Duran","BOS","53","231","213","57","10","3","3","25","20","13","52","2","11","4",".266",".315",".378",".692",".297","-0.4","0.3","0.2","564.2","sa3006786"
"Mitch Moreland","OAK","109","469","416","96","20","1","20","57","64","46","110","3","1","0",".231",".310",".431",".741",".311","0.2","-1.3","0.2","531.7","3086"
"Chad Wallach","MIA","66","262","236","49","10","0","6","24","24","20","77","3","1","0",".207",".276",".330",".606",".264","0.3","-0.2","0.2","599.9","17161"
"Danny Mendick","CHW","21","91","81","19","3","0","2","10","9","8","19","1","2","1",".239",".314",".373",".687",".297","0.4","-0.1","0.2","600.9","18889"
"Cristian Pache","ATL","123","532","490","120","27","6","13","57","61","33","131","3","7","7",".246",".296",".404",".700",".296","0.3","-1.9","0.2","999.0","19948"
"Jedd Gyorko","","36","154","135","33","5","0","7","18","20","16","38","1","1","0",".242",".323",".438",".761",".322","0.4","-0.2","0.2","599.2","10816"
"Isiah Kiner-Falefa","TEX","144","623","566","146","25","5","8","66","50","41","103","9","15","6",".258",".316",".359",".675",".293","-4.0","0.3","0.2","309.8","16512"
"Austin Allen","OAK","16","64","59","14","3","0","2","7","8","4","17","1","0","0",".236",".290",".412",".702",".294","-0.2","-0.1","0.2","600.3","18083"
"Ryan Braun","","52","224","205","52","11","1","9","27","33","14","47","3","3","1",".254",".310",".458",".767",".321","-0.2","-0.1","0.2","600.7","3410"
"Reese McGuire","TOR","28","109","98","22","4","0","3","11","11","7","23","1","1","0",".224",".282",".365",".646",".276","0.0","0.0","0.2","601.0","15674"
"Franklin Barreto","LAA","29","126","115","26","5","1","5","16","16","8","43","2","2","1",".222",".281",".408",".690",".291","-0.1","0.1","0.2","600.9","15519"
"Vimael Machin","OAK","24","105","92","22","5","0","2","11","9","11","18","1","1","0",".243",".324",".347",".671",".291","-0.2","-0.1","0.2","999.0","17684"
"Jo Adell","LAA","52","224","206","50","10","0","7","22","23","14","71","2","3","1",".242",".297",".399",".695",".296","1.2","-0.1","0.2","433.0","20220"
"Daniel Robertson","MIL","47","203","175","41","7","1","4","22","19","22","49","5","2","1",".237",".336",".353",".690",".305","0.1","-0.3","0.2","999.0","14145"
"Tomas Nido","NYM","45","179","166","37","8","0","5","17","21","9","43","1","1","0",".222",".265",".362",".628",".265","-0.5","-0.2","0.2","600.4","13755"
"Chas McCormick","HOU","37","161","143","34","5","1","3","18","15","15","29","1","4","1",".241",".315",".360",".674",".293","0.2","0.1","0.2","600.0","sa3004174"
"Keibert Ruiz","LAD","13","51","47","12","2","0","1","6","6","3","6","1","0","0",".256",".308",".392",".701",".299","0.0","0.0","0.2","597.1","19610"
"Ben Gamel","CLE","44","189","167","42","10","1","3","22","17","18","49","2","2","1",".249",".327",".383",".710",".306","-0.6","-0.2","0.2","999.0","12160"
"Aramis Garcia","OAK","42","166","153","31","7","1","5","16","18","10","55","1","0","0",".205",".258",".350",".608",".260","0.2","-0.2","0.2","600.3","16925"
"Jake Bauers","CLE","63","273","237","54","13","1","9","32","32","32","72","2","6","3",".230",".324",".400",".724",".312","0.3","0.0","0.1","590.3","15194"
"Kevin Pillar","NYM","70","301","281","70","15","1","9","35","36","13","53","4","6","2",".248",".288",".405",".693",".292","0.3","0.5","0.1","528.4","12434"
"Josh Reddick","","65","280","254","66","11","1","7","32","30","22","46","1","2","1",".261",".319",".403",".722",".307","-0.5","-0.3","0.1","599.2","3892"
"Rougned Odor","TEX","104","448","405","87","18","1","23","55","67","33","133","6","8","5",".215",".281",".434",".715",".298","-1.1","-0.4","0.1","532.7","12282"
"Joey Bart","SFG","16","64","59","14","3","1","2","7","7","3","18","1","0","0",".242",".290",".398",".688",".292","-0.2","-0.1","0.1","520.2","21524"
"Niko Goodrum","DET","96","413","371","84","19","3","11","46","44","36","127","2","11","4",".227",".297",".387",".683",".292","-1.2","1.0","0.1","520.9","12092"
"Jay Bruce","NYY","39","168","152","35","7","1","9","20","28","13","41","1","1","0",".231",".294",".468",".763",".316","0.0","-0.2","0.1","595.5","9892"
"Rylan Bannon","BAL","24","105","94","22","5","1","3","11","11","9","23","1","1","1",".234",".306",".382",".687",".295","-0.1","-0.1","0.1","600.8","sa3004162"
"Vidal Brujan","TBR","19","84","77","19","3","1","1","9","7","6","15","1","5","2",".247",".304",".357",".661",".285","0.4","0.0","0.1","999.0","sa872786"
"Bradley Zimmer","CLE","32","140","123","26","5","1","4","15","14","12","48","3","5","1",".214",".300",".361",".662",".287","0.3","0.4","0.1","599.2","16221"
"Willians Astudillo","MIN","6","26","24","7","1","0","1","3","3","1","2","0","0","0",".283",".314",".453",".767",".321","0.1","-0.1","0.1","589.4","15608"
"Colton Welker","COL","18","77","70","19","4","0","2","8","10","5","15","0","1","0",".278",".329",".440",".769",".323","0.2","0.0","0.1","598.2","sa917962"
"Pavin Smith","ARI","28","119","106","28","5","1","3","13","12","11","19","1","1","0",".263",".331",".413",".744",".317","0.2","-0.1","0.1","596.8","19892"
"Yusniel Diaz","BAL","50","217","194","47","9","2","6","25","24","20","48","1","2","3",".244",".317",".406",".723",".309","-0.9","-0.9","0.1","999.0","sa912848"
"Andrew Knapp","PHI","37","147","124","28","6","1","3","15","14","19","43","1","0","0",".223",".333",".353",".686",".301","-1.7","-0.1","0.1","591.0","14942"
"Jarrod Dyson","KCR","58","252","225","52","7","1","3","31","18","22","45","2","15","3",".230",".303",".314",".617",".272","1.6","1.9","0.1","600.7","4866"
"Phillip Evans","PIT","58","252","226","58","11","1","6","28","27","21","45","3","2","2",".255",".324",".397",".720",".310","0.2","-0.6","0.1","600.8","12950"
"Logan Morrison","","26","112","99","23","5","0","6","14","16","11","27","1","1","0",".230",".313",".459",".772",".324","0.0","-0.1","0.1","999.0","9205"
"Joe Panik","TOR","19","84","74","19","4","0","1","9","8","8","10","1","1","0",".253",".326",".366",".693",".300","-0.2","-0.1","0.1","600.0","11936"
"Jonathan Lucroy","CHW","28","109","98","23","4","0","2","11","12","8","18","1","0","0",".237",".303",".359",".662",".285","-0.5","-0.2","0.1","600.0","7870"
"Austin Romine","CHC","44","173","161","39","8","0","4","17","21","9","47","1","0","0",".243",".282",".375",".658",".279","0.2","-0.3","0.1","592.6","5491"
"Andy Young","ARI","18","77","68","16","3","1","3","9","9","5","20","3","1","0",".232",".309",".415",".723",".309","-0.2","-0.1","0.1","999.0","19521"
"Cole Tucker","PIT","63","273","247","58","12","2","4","29","23","21","62","2","6","2",".234",".296",".351",".647",".279","0.4","0.2","0.1","599.5","17326"
"Luis Rengifo","LAA","15","63","55","13","2","0","1","7","6","6","13","1","2","1",".235",".317",".361",".678",".295","0.0","-0.1","0.1","600.9","19858"
"Scott Kingery","PHI","86","371","339","78","18","2","11","42","40","24","103","4","7","2",".229",".285",".390",".674",".286","0.4","0.5","0.1","418.7","17975"
"Austin Dean","STL","31","133","121","32","7","1","4","15","17","10","28","1","1","1",".263",".320",".436",".756",".319","-0.6","-0.1","0.1","999.0","18288"
"Abraham Toro","HOU","24","105","93","22","5","1","3","13","12","8","22","2","1","1",".237",".313",".403",".716",".306","0.0","-0.1","0.1","599.4","19844"
"Colin Moran","PIT","131","567","512","133","27","2","20","64","73","44","131","5","1","2",".261",".323",".434",".757",".319","-2.8","-1.9","0.1","529.5","16909"
"Johan Camargo","ATL","37","161","147","37","9","0","5","19","20","11","36","1","0","0",".251",".308",".421",".730",".308","0.0","-0.1","0.1","598.1","14950"
"Adam Haseley","PHI","63","273","245","62","12","1","6","30","31","20","59","4","3","2",".253",".316",".385",".701",".300","-0.1","0.0","0.1","595.7","19878"
"Jorge Alfaro","MIA","81","320","295","68","11","1","9","30","37","15","110","8","3","1",".232",".286",".370",".656",".279","-2.0","-0.7","0.1","251.2","12180"
"Rene Rivera","","13","51","47","10","1","0","2","5","6","3","17","1","0","0",".209",".267",".369",".635",".270","0.6","-0.1","0.1","999.0","3648"
"Kevan Smith","TBR","13","51","46","12","2","0","1","5","6","3","10","1","0","0",".256",".314",".376",".689",".297","-0.5","-0.1","0.1","999.0","12284"
