"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Omar Estevez","LAD","6","28","26","6","1","0","1","3","3","2","7","0","0","0",".228",".279",".353",".632",".271","0.0","0.0","0.0","999.0","sa914242"
"Jake Fraley","SEA","23","98","89","21","5","1","3","11","10","6","27","1","3","2",".230",".289",".392",".681",".288","0.0","-0.1","0.0","600.4","19260"
"Gavin Sheets","CHW","3","14","13","3","0","0","0","2","2","1","3","0","0","0",".234",".299",".368",".667",".288","0.0","0.0","0.0","999.0","sa829797"
"Connor Chatham","","3","14","13","3","1","0","0","1","1","1","3","0","0","0",".247",".280",".339",".619",".265","0.0","0.0","0.0","999.0","sa873984"
"Gregory Deichmann","OAK","3","14","13","3","1","0","0","1","1","1","4","0","0","0",".202",".268",".347",".615",".265","0.1","0.0","0.0","999.0","sa3004977"
"Danny Santana","BOS","15","63","58","14","4","1","2","8","8","4","19","1","2","1",".241",".288",".436",".724",".302","0.0","0.1","0.0","594.0","10322"
"Stephen Vogt","ARI","45","181","164","37","10","1","5","18","22","15","41","1","1","0",".225",".289",".396",".686",".291","-2.4","-0.4","0.0","598.5","5000"
"Luke Maile","MIL","6","26","23","5","1","0","0","2","2","2","7","0","0","0",".196",".259",".303",".562",".246","0.1","0.0","0.0","999.0","13355"
"Jacob Nottingham","MIL","36","142","127","25","5","0","5","15","17","11","49","3","2","1",".200",".275",".361",".636",".273","-0.6","0.0","0.0","600.3","16448"
"Yadiel Hernandez","WSN","21","91","82","20","4","0","3","11","12","8","24","0","1","0",".249",".317",".418",".734",".310","-0.3","-0.1","0.0","999.0","19334"
"Dustin Fowler","PIT","84","364","340","86","17","4","11","40","41","19","90","3","7","3",".253",".295",".419",".714",".300","-1.0","-0.1","0.0","600.3","17098"
"Todd Frazier","PIT","65","280","247","57","11","1","9","30","32","25","62","5","2","1",".230",".313",".399",".711",".305","0.2","-0.7","0.0","596.9","785"
"Raimel Tapia","COL","130","560","517","148","30","7","9","68","54","33","116","3","16","5",".285",".330",".423",".754",".320","-0.5","1.1","0.0","233.5","14350"
